score,fold1,fold2,fold3,vars
0.604551822059488,0.568,0.597,0.649,kr_base_rate+dxy+spread_10y_t1+delta_us10y_t1+crisis_dummy
0.604551822059488,0.568,0.597,0.649,us_fed_funds+vix+sp500+delta_us10y_t1+crisis_dummy
0.6045101300033165,0.576,0.593,0.645,us_fed_funds+sp500+spread_10y_t1+delta_us10y_t1+delta_dxy_t1
0.6044865074061455,0.576,0.597,0.64,us_treasury_10y+vix+dxy+spread_10y_t1+delta_us10y_t1
0.6044448153499741,0.585,0.593,0.636,us_treasury_10y+us_fed_funds+dxy+delta_us10y_t1+delta_dxy_t1
0.6043012345235432,0.589,0.569,0.655,kr_treasury_3y+kr_base_rate+vix+spread_10y_t1+delta_us10y_t1
0.6042539893292012,0.589,0.578,0.646,sp500+dxy+delta_us10y_t1+delta_vix_t1+delta_dxy_t1
0.6041886746758586,0.597,0.578,0.637,kr_treasury_3y+us_treasury_10y+vix+delta_us10y_t1+delta_dxy_t1
0.6041284779617705,0.585,0.563,0.665,kr_treasury_3y+sp500+dxy+delta_us10y_t1+crisis_dummy
0.6041264064149295,0.564,0.593,0.656,kr_treasury_3y+vix+sp500+dxy+delta_us10y_t1
0.6041173716854292,0.568,0.588,0.656,vix+sp500+dxy+delta_us10y_t1+delta_dxy_t1
0.6040465038939162,0.568,0.601,0.643,kr_treasury_3y+us_fed_funds+vix+sp500+delta_us10y_t1
0.603968672919744,0.593,0.58,0.639,kr_base_rate+us_fed_funds+sp500+delta_us10y_t1+crisis_dummy
0.6039485319139025,0.581,0.601,0.63,us_breakeven_10y+vix+spread_10y_t1+delta_us10y_t1+delta_vix_t1
0.6038651478015596,0.597,0.593,0.621,us_breakeven_10y+vix+sp500+delta_us10y_t1+delta_vix_t1
0.603835972066218,0.589,0.61,0.613,us_fed_funds+vix+dxy+spread_10y_t1+delta_us10y_t1
0.6038139858169718,0.581,0.582,0.649,us_breakeven_10y+sp500+delta_us10y_t1+delta_dxy_t1+crisis_dummy
0.6037340832959585,0.585,0.591,0.636,kr_treasury_3y+kr_base_rate+us_treasury_10y+delta_us10y_t1+crisis_dummy
0.6036537455760289,0.559,0.597,0.655,kr_treasury_3y+vix+dxy+delta_us10y_t1+delta_vix_t1
0.6035428220762693,0.559,0.574,0.678,kr_treasury_3y+kr_base_rate+delta_us10y_t1+delta_vix_t1+crisis_dummy
0.6034538848257558,0.568,0.578,0.665,kr_treasury_3y+us_breakeven_10y+sp500+delta_us10y_t1+delta_vix_t1
0.6034267806372552,0.581,0.565,0.665,kr_treasury_3y+us_breakeven_10y+vix+delta_us10y_t1+delta_vix_t1
0.6034156743609138,0.564,0.591,0.656,us_fed_funds+sp500+dxy+delta_us10y_t1+delta_vix_t1
0.6033739823047425,0.572,0.586,0.652,us_breakeven_10y+sp500+spread_10y_t1+delta_us10y_t1+delta_vix_t1
0.6033503597075714,0.572,0.591,0.647,vix+dxy+delta_us10y_t1+delta_dxy_t1+crisis_dummy
0.6032359546164822,0.585,0.55,0.675,us_breakeven_10y+dxy+spread_10y_t1+delta_us10y_t1+crisis_dummy
0.6032102604724701,0.564,0.584,0.662,kr_treasury_3y+kr_base_rate+sp500+delta_us10y_t1+delta_vix_t1
0.6031157700837859,0.564,0.601,0.645,kr_base_rate+us_treasury_10y+us_fed_funds+dxy+delta_us10y_t1
0.6030615617067847,0.589,0.576,0.645,kr_base_rate+sp500+dxy+delta_us10y_t1+delta_dxy_t1
0.6030504554304434,0.572,0.601,0.636,kr_base_rate+us_fed_funds+dxy+spread_10y_t1+delta_us10y_t1
0.6028922867363417,0.572,0.586,0.65,us_fed_funds+us_breakeven_10y+sp500+delta_us10y_t1+delta_vix_t1
0.6027470695619859,0.585,0.595,0.629,kr_treasury_3y+vix+spread_10y_t1+delta_us10y_t1+delta_vix_t1
0.6026340745153852,0.564,0.601,0.643,us_breakeven_10y+sp500+dxy+spread_10y_t1+delta_us10y_t1
0.6026310281229718,0.606,0.586,0.616,us_fed_funds+us_breakeven_10y+delta_us10y_t1+delta_vix_t1+delta_dxy_t1
0.6025447020659555,0.542,0.603,0.662,kr_treasury_3y+dxy+spread_10y_t1+delta_us10y_t1+delta_vix_t1
0.6025287041537961,0.572,0.565,0.671,us_breakeven_10y+vix+dxy+delta_us10y_t1+crisis_dummy
0.6023869685707698,0.572,0.591,0.645,kr_base_rate+dxy+delta_us10y_t1+delta_vix_t1+delta_dxy_t1
0.6023563827909397,0.597,0.561,0.649,us_fed_funds+vix+spread_10y_t1+delta_us10y_t1+delta_vix_t1
0.602035902309054,0.555,0.591,0.66,kr_treasury_3y+us_breakeven_10y+delta_us10y_t1+delta_dxy_t1+crisis_dummy
0.6020032449823828,0.559,0.591,0.656,vix+dxy+delta_us10y_t1+delta_vix_t1+delta_dxy_t1
0.6019434834672109,0.576,0.578,0.652,kr_treasury_3y+kr_base_rate+us_breakeven_10y+dxy+delta_us10y_t1
0.6019052730023691,0.572,0.591,0.643,us_treasury_10y+us_fed_funds+dxy+delta_us10y_t1+crisis_dummy
0.6018726156756978,0.576,0.591,0.639,kr_base_rate+us_breakeven_10y+delta_us10y_t1+delta_vix_t1+crisis_dummy
0.6017179285729256,0.564,0.593,0.649,us_fed_funds+us_breakeven_10y+spread_10y_t1+delta_us10y_t1+crisis_dummy
0.6016074402720822,0.593,0.571,0.64,kr_treasury_3y+kr_base_rate+us_breakeven_10y+sp500+delta_us10y_t1
0.6015636766690696,0.581,0.597,0.627,spread_10y_t1+delta_us10y_t1+delta_vix_t1+delta_dxy_t1+crisis_dummy
0.6015416904198235,0.572,0.569,0.663,us_breakeven_10y+sp500+dxy+delta_us10y_t1+delta_dxy_t1
0.601521549413982,0.559,0.591,0.655,kr_treasury_3y+vix+delta_us10y_t1+delta_vix_t1+delta_dxy_t1
0.6014472000311394,0.572,0.586,0.646,kr_treasury_3y+us_fed_funds+sp500+spread_10y_t1+delta_us10y_t1
0.6014089895662974,0.568,0.599,0.637,vix+sp500+spread_10y_t1+delta_us10y_t1+crisis_dummy
0.6012577840548549,0.542,0.618,0.643,kr_base_rate+vix+dxy+spread_10y_t1+delta_us10y_t1
0.6011855062188532,0.576,0.584,0.643,kr_treasury_3y+kr_base_rate+us_breakeven_10y+delta_us10y_t1+delta_vix_t1
0.6011709183511824,0.572,0.593,0.639,kr_base_rate+us_breakeven_10y+spread_10y_t1+delta_us10y_t1+delta_vix_t1
0.600983573921739,0.564,0.595,0.645,vix+sp500+spread_10y_t1+delta_us10y_t1+delta_dxy_t1
0.6008017826304662,0.564,0.584,0.655,kr_base_rate+sp500+dxy+delta_us10y_t1+delta_vix_t1
0.6005289825418388,0.551,0.608,0.643,kr_base_rate+vix+sp500+spread_10y_t1+delta_us10y_t1
0.600469221026667,0.568,0.595,0.639,us_fed_funds+vix+spread_10y_t1+delta_us10y_t1+crisis_dummy
0.6004657394353374,0.581,0.578,0.643,us_fed_funds+us_breakeven_10y+dxy+delta_us10y_t1+crisis_dummy
0.6003582975269074,0.568,0.571,0.662,sp500+dxy+delta_us10y_t1+delta_dxy_t1+crisis_dummy
0.6003492627974071,0.572,0.567,0.662,kr_treasury_3y+sp500+delta_us10y_t1+delta_vix_t1+crisis_dummy
