vars,dir_acc
delta_us10y_t1+kr_base_rate+kr_corp_aa3y+kr_industrial_prod+kr_ppi+kr_treasury_1y+kr_treasury_5y+krw_usd+us_breakeven_10y+us_credit_spread+us_treasury_10y+vix+wti_oil,0.6005366966472091
delta_dxy_t1+dxy+kr_cd_91d+kr_corp_aa3y+kr_cpi+kr_cpi_core+kr_treasury_3y+spread_10y_t1+us_cpi+us_credit_spread+us_fed_funds+us_treasury_10y+us_treasury_2y,0.5130162474387027
crisis_dummy+dxy+kr_base_rate+kr_industrial_prod+kr_mfg_bsi_outlook+kr_treasury_1y+kr_treasury_3y+krw_usd+spread_10y_t1+us_breakeven_10y+us_credit_spread+us_treasury_10y+wti_oil,0.4778932926037854
crisis_dummy+delta_dxy_t1+delta_us10y_t1+kr_cd_91d+kr_corp_aa3y+kr_cpi+kr_mfg_bsi_outlook+kr_treasury_5y+us_fed_funds+us_treasury_10y+us_treasury_2y+vix+wti_oil,0.5837492257841038
crisis_dummy+delta_vix_t1+kr_base_rate+kr_mfg_bsi_outlook+kr_treasury_1y+kr_treasury_5y+krw_usd+spread_10y_t1+us_cpi+us_treasury_10y+us_treasury_2y+vix+wti_oil,0.5025943036132122
delta_dxy_t1+delta_us10y_t1+dxy+kr_cpi_core+kr_industrial_prod+kr_treasury_1y+kr_treasury_3y+kr_treasury_5y+krw_usd+sp500+us_breakeven_10y+vix+wti_oil,0.5994322091118408
crisis_dummy+delta_dxy_t1+delta_us10y_t1+dxy+kr_base_rate+kr_cpi+kr_cpi_core+kr_industrial_prod+krw_usd+spread_10y_t1+us_credit_spread+us_fed_funds+wti_oil,0.6011199230068632
delta_us10y_t1+dxy+kr_base_rate+kr_corp_aa3y+kr_cpi_core+kr_industrial_prod+kr_mfg_bsi_outlook+kr_treasury_3y+spread_10y_t1+us_credit_spread+us_fed_funds+us_treasury_2y+vix,0.590598053344208
delta_vix_t1+kospi+kr_cd_91d+kr_industrial_prod+kr_mfg_bsi_outlook+kr_treasury_1y+kr_treasury_3y+krw_usd+sp500+spread_10y_t1+us_credit_spread+us_treasury_10y+us_treasury_2y,0.48814504151527766
kospi+kr_base_rate+kr_cd_91d+kr_corp_aa3y+kr_industrial_prod+kr_mfg_bsi_outlook+kr_treasury_5y+krw_usd+spread_10y_t1+us_credit_spread+us_fed_funds+us_treasury_10y+vix,0.5005179117063118
